authors,category,parent_category,title,description,image_url,price,pages,publisher,date_string,dimensions,main_category
"Alberto Ferrari,Marco Russo",Computer Science,Computing & I.T.,Analyzing Data with Microsoft Power BI and Power Pivot for Excel,"To get the right insights from your data, you need to model it right. From Power BI to Power Pivot for Excel, Microsoft offers extremely powerful and accessible tools for modeling data. Now, for the first time, there's a complete guide to building exceptionally effective models using Microsoft's tools. World-renowned Microsoft data analytics experts Marco Russo and Alberto Ferrari introduce all the data modeling theory you'll need, and show how to apply it in the context of Microsoft's current and evolving products.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781509302765/analyzing-data-with-microsoft-power-bi-and-power-pivot-for-excel.jpg,45.95,256,"Microsoft Press,U.S.",2017-04-17,22.9 x 18.8 x 1.3,Computer Science
"Brian Christian,Tom Griffiths",Miscellaneous Items,"
Books
",Algorithms To Live By,"What should we do, or leave undone, in a day or a lifetime? Exploring how insights from computer algorithms can be applied to our everyday lives, ‘Algorithms To Live By’  helps to solve common decision-making problems and illuminate the workings of the human mind. When should you switch between different tasks, and how many tasks should you take on in the first place? How much messiness should you accept? What balance of new activities and familiar favourites is the most fulfilling? When computers face constraints of time and space, they too must untangle very human questions: how to have better hunches, when to leave things to chance, how to deal with overwhelming choices and how best to connect with others.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780007547999/algorithms-to-live-by.jpg,19.25,368,HarperCollins Publishers,2017-04-12,19.7 x 13.0 x 2.7,Computer Science
"Carl Chatfield,Timothy   Johnson",Computer Science,Computing & I.T.,Microsoft Project 2016 Step by Step,"The quick way to learn Microsoft Project 2016!  This is learning made easy. Get more done quickly with Project 2016. Jump in wherever you need answers–brisk lessons and colorful screenshots show you exactly what to do, step by step.  Quickly start a new plan, build task lists, and assign resources Share your plan and track your progress Capture and fine-tune work and cost details Use Gantt charts and other views and reports to visualize project schedules Share resources across multiple plans and consolidate projects Master project management best practices while you learn Project Look up just the tasks and lessons you need ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780735698741/microsoft-project-2016-step-by-step.jpg,45.25,576,"Microsoft Press,U.S.",2016-05-28,22.7 x 18.9 x 2.4,Computer Science
"Adam Crute,Frederic Johnson",Science & Technology for Children & Teenagers,Children's Non-Fiction,Coding For Kids,"Adam Crute (author & foreword) is a freelance journalist, developer and media producer who has worked on and with computers since the very first PCs hit the shelves in the early 80s. His fascination and passion for all things digital has remained unabated since. Frederic Johnson (co-author) has been in the web design industry since leaving Loughborough University back in 2004. He started out as a copywriter and moving to London in 2008 he joined a well-known agency where he started out as junior web designer. In 2012 he decided to go freelance and now writes books, blogs and takes on small web design projects. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781786645401/coding-for-kids.jpg,19.5,256,Flame Tree Publishing,2017-10-28,17.5 x 21.1 x 1.6,Computer Science
"Eben Upton,Gareth Halfacree",Computer Hardware,Computing & I.T.,"Raspberry Pi User Guide, 4th Edition","Learn the Raspberry Pi 3 from the experts!  Raspberry Pi User Guide, 4th Edition is the ""unofficial official"" guide to everything Raspberry Pi 3. Written by the Pi's creator and a leading Pi guru, this book goes straight to the source to bring you the ultimate Raspberry Pi 3 manual. This new fourth edition has been updated to cover the Raspberry Pi 3 board and software, with detailed discussion on its wide array of configurations, languages, and applications. You'll learn how to take full advantage of the mighty Pi's full capabilities, and then expand those capabilities even more with add-on technologies. You'll write productivity and multimedia programs, and learn flexible programming languages that allow you to shape your Raspberry Pi into whatever you want it to be. If you're ready to jump right in, this book gets you started with clear, step-by-step instruction from software installation to system customization. The Raspberry Pi's tremendous popularity has spawned an entire industry of add-ons, parts, hacks, ideas, and inventions. The movement is growing, and pushing the boundaries of possibility along with it-are you ready to be a part of it? This book is your ideal companion for claiming your piece of the Pi.  Get all set up with software, and connect to other devices Understand Linux System Admin nomenclature and conventions Write your own programs using Python and Scratch Take advantage of Pi compatibility with Arduino, Gertboard, and more  The credit-card sized Raspberry Pi has become a global phenomenon. Created by the Raspberry Pi Foundation to get kids interested in programming, this tiny computer kick-started a movement of tinkerers, thinkers, experimenters, and inventors. Where will your Raspberry Pi 3 take you? The Raspberry Pi User Guide, 3rd Edition is your ultimate roadmap to discovery.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119264361/raspberry-pi-user-guide-4th-edition.jpg,27.75,312,John Wiley & Sons Inc,2016-07-25,23.5 x 19.0 x 1.5,Computer Science
"Kelly Kordes Anton,John Cruise",Computer Science,Computing & I.T.,Adobe InDesign CC Classroom in a Book (2017 release),"The real-world tasks in this comprehensive book are presented in an easy-to-follow, step-by-step format and are designed to train beginning  Adobe InDesign users in the program–from fundamental features to powerful layout skills. This book can also help experienced InDesign users elevate their skills and learn about new features.     The online companion files include all the necessary assets for readers to complete the projects featured in each chapter as well as ebook updates when Adobe releases new features for Creative Cloud customers. All buyers of the book get full access to the Web Edition: a Web-based version of the complete ebook enhanced with video and interactive multiple-choice quizzes. As always with the Classroom in a Book, Instructor Notes are available for teachers to download.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780134664095/adobe-indesign-cc-classroom-in-a-book-2017-release-.jpg,68.35,432,Pearson Education (US),2016-12-12,23.3 x 18.8 x 1.9,Computer Science
John Haydon,Computer Science,Computing & I.T.,Facebook Marketing For Dummies,"Practical Facebook marketing strategies, tactics, and techniques  This new edition of Facebook Marketing For Dummies arms novice to expert marketers with everything they need to plan, refine, execute, and maintain a successful Facebook marketing campaign. Fully updated to cover the latest tools and techniques of Facebook marketing, you'll find hands-on guidance to create and administer your Page Timeline, understand the psychology of the Facebook user, build your fan base, utilize events, contests, and polls to promote your Page, increase your brand awareness, integrate your Facebook marketing campaign with other marketing strategies, and monitor, measure, and adjust your Facebook marketing campaigns. Written by a leading expert on helping others use Facebook and other social media tools to promote and enhance their brands, this practical guide gets you up and running on Facebook marketing?fast. In plain English, it walks you through all the latest features, including new designs for the News Feed, Timeline, and Pages, as well as major changes to the Facebook advertising platform.  Includes real-world case studies that illustrate how successful Facebook marketing really works Fully updated to cover the latest tools and techniques in Facebook marketing Shows marketers how to use Facebook to reach and engage their target audience Provides step-by-step instructions on how to organize, optimize, and manage your Facebook advertising campaigns  If you're a marketer looking to develop or refine a social media marketing plan that includes significant Facebook presence, Facebook Marketing For Dummies is your go-to guide.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781118951323/facebook-marketing-for-dummies.jpg,27.75,336,John Wiley & Sons Inc,2014-12-19,23.5 x 18.8 x 1.6,Computer Science
"F.Alton Everest,Ken C. Pohlmann",Architectural Structure & Design,Architecture,Master Handbook of Acoustics,"Design and construct audiophile-quality sonic environments of all sizes--from home theaters and project studios to large-scale recording studios. Thoroughly revised to include new acoustical design techniques, Master Handbook of Acoustics, Sixth Edition, explains the art and science of room acoustics and architecture by combining theoretical instruction with matter-of-fact engineering advice.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780071841047/master-handbook-of-acoustics.jpg,41.75,640,McGraw-Hill Education - Europe,2014-11-17,23.3 x 18.6 x 3.1,Computer Science
Carrie Anne Philbin,Computer Hardware,Computing & I.T.,Adventures in Raspberry Pi,"Coding for kids is cool with Raspberry Pi and this elementary guideEven if your kids don't have an ounce of computer geek in them, they can learn to code with Raspberry Pi and this wonderful book. Written for 11- to 15-year-olds and assuming no prior computing knowledge, this book uses the wildly successful, low-cost, credit-card-sized Raspberry Pi computer to explain fundamental computing concepts. Young people will enjoy going through the book's nine fun projects while they learn basic programming and system administration skills, starting with the very basics of how to plug in the board and turn it on.Each project includes a lively and informative video to reinforce the lessons. It's perfect for young, eager self-learners-your kids can jump in, set up their Raspberry Pi, and go through the lessons on their own.Written by Carrie Anne Philbin, a high school teacher of computing who advises the U.K. government on the revised ICT CurriculumTeaches 11- to 15-year-olds programming and system administration skills using Raspberry PiFeatures 9 fun projects accompanied by lively and helpful videosRaspberry Pi is a $35/£25 credit-card-sized computer created by the non-profit Raspberry Pi Foundation; over a million have been soldHelp your children have fun and learn computing skills at the same time with Adventures in Raspberry Pi.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119046028/adventures-in-raspberry-pi.jpg,26.25,256,John Wiley & Sons Inc,2015-02-13,23.5 x 18.7 x 1.2,Computer Science
"Steven Morris,Carlos Coronel",Databases,Computing & I.T.,"Database Systems: Design, Implementation, & Management","Give students a solid foundation in database design and implementation with the practical and easy-to-understand approach in Database Systems: Design, Implementation, & Management, 12E. Filled with diagrams, illustrations, and tables, this market-leading text provides in-depth coverage of database design. Students learn the key to successful database implementation is the proper design of databases to fit within a larger strategic view of the data environment. This book combines a clear, straightforward writing style with an outstanding balance of theory and practice. Students gain the hands-on skills to make them attractive to employers. Updates include the latest coverage of cloud data services and a new chapter on Big Data Analytics and NoSQL, including related Hadoop technologies. In addition, new review questions, problem sets, and cases offer multiple opportunities for students to test their understanding and develop useful design skills.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781305627482/database-systems-design-implementation-management.jpg,124.5,784,"Cengage Learning, Inc",2016-02-01,28.4 x 22.4 x 3.5,Computer Science
Nicholas Carr,Impact of Science & Technology on Society,Science in General,The Shallows,"“Is Google making us stupid?” When Nicholas Carr posed that question, in a celebrated Atlantic Monthly cover story, he tapped into a well of anxiety about how the Internet is changing us. He also crystallized one of the most important debates of our time: As we enjoy the Net’s bounties, are we sacrificing our ability to read and think deeply? Now, Carr expands his argument into the most compelling exploration of the Internet’s intellectual and cultural consequences yet published. As he describes how human thought has been shaped through the centuries by “tools of the mind”—from the alphabet to maps, to the printing press, the clock, and the computer—Carr interweaves a fascinating account of recent discoveries in neuroscience by such pioneers as Michael Merzenich and Eric Kandel. Our brains, the historical and scientific evidence reveals, change in response to our experiences. The technologies we use to find, store, and share information can literally reroute our neural pathways. Building on the insights of thinkers from Plato to McLuhan, Carr makes a convincing case that every information technology carries an intellectual ethic—a set of assumptions about the nature of knowledge and intelligence. He explains how the printed book served to focus our attention, promoting deep and creative thought. In stark contrast, the Internet encourages the rapid, distracted sampling of small bits of information from many sources. Its ethic is that of the industrialist, an ethic of speed and efficiency, of optimized production and consumption—and now the Net is remaking us in its own image. We are becoming ever more adept at scanning and skimming, but what we are losing is our capacity for concentration, contemplation, and reflection. Part intellectual history, part popular science, and part cultural criticism, The Shallows sparkles with memorable vignettes—Friedrich Nietzsche wrestling with a typewriter, Sigmund Freud dissecting the brains of sea creatures, Nathaniel Hawthorne contemplating the thunderous approach of a steam locomotive—even as it plumbs profound questions about the state of our modern psyche. This is a book that will forever alter the way we think about media and our minds.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780393339758/the-shallows.jpg,20.75,304,WW Norton & Co,2011-06-06,21.1 x 14.0 x 2.0,Computer Science
"Esther Derby,Diana Larsen,Ken Schwaber",Software Engineering,Computer Programming & Software Development,Agile Retrospectives - Making Good Teams Great,"See how to mine the experience of your software development team ""continually"" throughout the life of the project. The tools and recipes in this book will help you uncover and solve hidden (and not-so-hidden) problems with your technology, your methodology, and those difficult ""people"" issues on your team.  Project retrospectives help teams examine what went right and what went wrong on a project. But traditionally, retrospectives (also known as ""post-mortems"") are only helpful at the end of the project--too late to help. You need agile retrospectives that are iterative and incremental. You need to accurately find and fix problems to help the team today.  Now, Derby and Larsen show you the tools, tricks, and tips you need to fix the problems you face on a software development project on an on-going basis. You'll see how to architect retrospectives in general, how to design them specifically for your team and organization, how to run them effectively, how to make the needed changes, and how to scale these techniques up. You'll learn how to deal with problems, and implement solutions effectively throughout the project--not just at the end.  With regular tune-ups, your team will hum like a precise, world-class orchestra.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780977616640/agile-retrospectives-making-good-teams-great.jpg,39.9,186,The Pragmatic Programmers,2006-08-05,23.4 x 19.0 x 1.0,Computer Science
Steve McConnell,Business Applications,Computing & I.T.,Code Complete,"Widely considered one of the best practical guides to programming, Steve McConnell's original CODE COMPLETE has been helping developers write better software for more than a decade. Now this classic book has been fully updated and revised with leading-edge practices--and hundreds of new code samples--illustrating the art and science of software construction. Capturing the body of knowledge available from research, academia, and everyday commercial practice, McConnell synthesizes the most effective techniques and must-know principles into clear, pragmatic guidance. No matter what your experience level, development environment, or project size, this book will inform and stimulate your thinking--and help you build the highest quality code. Discover the timeless techniques and strategies that help you: Design for minimum complexity and maximum creativity Reap the benefits of collaborative development Apply defensive programming techniques to reduce and flush out errors Exploit opportunities to refactor--or evolve--code, and do it safely Use construction practices that are right-weight for your project Debug problems quickly and effectively Resolve critical construction issues early and correctly Build quality into the beginning, middle, and end of your project",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780735619678/code-complete.jpg,59.95,960,"Microsoft Press,U.S.",2004-07-07,22.8 x 19.0 x 4.8,Computer Science
"Patricia Bazeley,Kristi Jackson",Mathematical & Statistical Software,Business Applications,Qualitative Data Analysis with NVivo,"Currently, she is a part-time Associate Professor in the Centre for Primary Health Care and Equity at the  University of New South Wales. Through her company, Research Support P/L, Pat provides research consulting and retreat facilities for researchers at Bowral, in the southern highlands of NSW. Additionally, she provides training and consulting services for academics, graduate students and practitioners in universities, government departments and commercial organizations both locally and internationally. Her particular expertise is in helping researchers to make sense of both quantitative and qualitative data and in using computer programs for management and analysis of data. Her passion is to help people move beyond simple descriptive analyses of rich data.Pat has a particular interest in mixed methods research, where she is exploring tools and techniques for integrating analyses of different forms of data, and the methodological implications of doing so. She has served as an Associate Editor of the Journal of Mixed Methods Research and has published books, chapters and articles on qualitative and mixed methods data analysis. She has also published on immunization services, and on the career development and performance of researchers.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781446256565/qualitative-data-analysis-with-nvivo.jpg,75.75,328,Sage Publications Ltd,2013-04-25,23.9 x 17.2 x 2.2,Computer Science
"Mark J. Guzdial,Barbara Ericson",Computer Programming & Software Development,Computing & I.T.,"Introduction to Computing and Programming in Python, Global Edition","Introduction to Computing and Programming in Python is a uniquely researched and up-to-date volume that is widely recognized for its successful introduction to the subject of Media Computation. Emphasizing creativity, classroom interaction, and in-class programming examples, Introduction to Computing and Programming in Python takes a bold and unique approach to computation that engages students and applies the subject matter to the relevancy of digital media. The Fourth Edition teaches students to program in an effort to communicate via social computing outlets, providing a unique approach that serves the interests of a broad range of students.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781292109862/introduction-to-computing-and-programming-in-python-global-edition.jpg,90.9,528,Pearson Education Limited,2016-06-10,23.5 x 17.7 x 2.0,Computer Science
"Erik Brynjolfsson,Andrew McAfee",Business & Management,Non-Fiction,The Second Machine Age,"A New York Times Bestseller. A “fascinating” (Thomas L. Friedman, New York Times) look at how digital technology is transforming our work and our lives. In recent years, Google’s autonomous cars have logged thousands of miles on American highways and IBM’s Watson trounced the best human Jeopardy! players. Digital technologies?with hardware, software, and networks at their core?will in the near future diagnose diseases more accurately than doctors can, apply enormous data sets to transform retailing, and accomplish many tasks once considered uniquely human. In The Second Machine Age MIT’s Erik Brynjolfsson and Andrew McAfee?two thinkers at the forefront of their field?reveal the forces driving the reinvention of our lives and our economy. As the full impact of digital technologies is felt, we will realize immense bounty in the form of dazzling personal technology, advanced infrastructure, and near-boundless access to the cultural items that enrich our lives.Amid this bounty will also be wrenching change. Professions of all kinds?from lawyers to truck drivers?will be forever upended. Companies will be forced to transform or die. Recent economic indicators reflect this shift: fewer people are working, and wages are falling even as productivity and profits soar.Drawing on years of research and up-to-the-minute trends, Brynjolfsson and McAfee identify the best strategies for survival and offer a new path to prosperity. These include revamping education so that it prepares people for the next economy instead of the last one, designing new collaborations that pair brute processing power with human ingenuity, and embracing policies that make sense in a radically transformed landscape.A fundamentally optimistic book, The Second Machine Age alters how we think about issues of technological, societal, and economic progress.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780393350647/the-second-machine-age.jpg,19.95,336,WW Norton & Co,2016-01-25,21.0 x 14.0 x 2.0,Computer Science
Stan Muller,Internet Guides & Online Services,Digital Lifestyle,YouTube Channels For Dummies,"Written by a successful YouTube channel producer, YouTube Channels For Dummies shows you how to create content, establish a channel, build an audience, and successfully monetize video content online. Beginning with the basics, it shows you how to establish a channel, join a partner program, and develop a content plan. Next, you'll gain insight into how to create content that builds a channel, enhance the viral nature of a video, encourage subscriptions, and earn repeat views. If that weren't enough, you'll go on even further to learn how to get the word out about your channel and discover ways to enhance your potential profits. That's a lot of info—but it's easily digestible and simple to put into practice when it's provided in the accessible and trusted For Dummies format.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781118958179/youtube-channels-for-dummies.jpg,27.75,408,John Wiley & Sons Inc,2015-04-01,23.5 x 18.8 x 2.0,Computer Science
Graham English,Music,Arts & Entertainment,Logic Pro X For Dummies,"Apple's Logic Pro X levels the playing field, making high-quality studio recordings accessible for any musician. It's a professional-level tool with a user-friendly interface and loads of new features to keep you more organized so you can focus on creating rather than computing. Record live audio and MIDI tracks and edit faster with the new Mixer. Create your own drum kit, or work with the native virtual session drummer. Add flavor to your sound with new Pedalboard stompboxes, and fine-tune it all with Flex Pitch. You'll let loose with Logic Pro X and let your creativity flow with help from For Dummies.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781118875049/logic-pro-x-for-dummies.jpg,35.25,384,John Wiley & Sons Inc,2014-08-01,23.62 x 18.8 x 1.91,Computer Science
"Olga M. Londer,Penelope Coventry",Computer Science,Computing & I.T.,Microsoft SharePoint 2016 Step by Step,"The quick way to learn Microsoft SharePoint 2016!  This is learning made easy. Get more done quickly with SharePoint 2016, and empower your whole organization to do so, too. Jump in wherever you need answers–brisk lessons and full color screenshots show you exactly what to do, step by step.  Create, edit, share, and manage documents, and use document collaboration in teams Create sites, organize them, and customize their layouts, features, and apps Efficiently organize content by using lists, libraries, and sites Manage site security, themes, templates, and content syndication Search for information and people, target your queries, and promote search results Manage projects by using SharePoint project sites Automate business processes by using workflows Communicate and collaborate via SharePoint’s social features Use SharePoint with Microsoft Word, Excel, Outlook, and OneNote Look up just the tasks and lessons you need   ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780735697768/microsoft-sharepoint-2016-step-by-step.jpg,45.75,576,"Microsoft Press,U.S.",2016-12-01,22.8 x 18.8 x 2.2,Computer Science
Garry Kasparov,Artificial Intelligence,Computer Science,Deep Thinking,"In May 1997, the world watched as Garry Kasparov, the greatest chess player in the world, was defeated for the first time by the IBM supercomputer Deep Blue. It was a watershed moment in the history of technology: machine intelligence had arrived at the point where it could best human intellect.It wasn't a coincidence that Kasparov became the symbol of man's fight against the machines. Chess has long been the fulcrum in development of machine intelligence; the hoax automaton 'The Turk' in the 18th century and Alan Turing's first chess program in 1952 were two early examples of the quest for machines to think like humans -- a talent we measured by their ability to beat their creators at chess. As the pre-eminent chessmaster of the 80s and 90s, it was Kasparov's blessing and his curse to play against each generation's strongest computer champions, contributing to their development and advancing the field. Like all passionate competitors, Kasparov has taken his defeat and learned from it. He has devoted much energy to devising ways in which humans can partner with machines in order to produce results better than either can achieve alone. During the twenty years since playing Deep Blue, he's played both with and against machines, learning a great deal about our vital relationship with our most remarkable creations. Ultimately, he's become convinced that by embracing the competition between human and machine intelligence, we can spend less time worrying about being replaced and more thinking of new challenges to conquer.In this breakthrough book, Kasparov tells his side of the story of Deep Blue for the first time -- what it was like to strategize against an implacable, untiring opponent -- the mistakes he made and the reasons the odds were against him. But more than that, he tells his story of AI more generally, and how he's evolved to embrace it, taking part in an urgent debate with philosophers worried about human values, programmers creating self-learning neural networks, and engineers of cutting edge robotics.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781473653511/deep-thinking.jpg,21.95,304,Hodder & Stoughton General Division,2018-04-05,19.7 x 12.9 x 1.9,Computer Science
Jonathan Taplin,Ethical & Social Aspects of IT,Information Technology General Issue,Move Fast and Break Things,"This is the story of how a small number of ideologically driven libertarians took the utopian ideal of the internet and turned it into the copyright-mauling, competition-destroying, human-hating nightmare it has become. Their revolution began with a simple premise: to conquer the world, they would steal the value of art (as well as the value of everything else of importance to human beings) from its creators.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781509847709/move-fast-and-break-things.jpg,16.5,304,Pan Macmillan,2018-03-22,19.7 x 13.0 x 2.0,Computer Science
"Kevin D. Mitnick,William L. Simon,Steve Wozniak",Computer Networking & Communications,Computing & I.T.,The Art of Deception,"Focusing on the human factors involved with information security, Mitnick explains why all the firewalls and encryption protocols in the world will never be enough to stop a savvy grifter intent on rifling a corporate database or an irate employee determined to crash a system. With the help of many fascinating true stories of successful attacks on business and government, he illustrates just how susceptible even the most locked-down information systems are to a slick con artist impersonating an IRS agent.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780764542800/the-art-of-deception.jpg,19.75,368,John Wiley & Sons Inc,2003-10-01,23.1 x 15.2 x 2.5,Computer Security
Seth Stephens-Davidowitz,Popular Culture,Cultural Studies,Everybody Lies,"AN ECONOMIST BOOK OF THE YEAR 2017Insightful, surprising and with ground-breaking revelations about our society, Everybody Lies exposes the secrets embedded in our internet searches, with a foreword by bestselling author Steven PinkerEverybody lies, to friends, lovers, doctors, pollsters - and to themselves. In Internet searches, however, people confess their secrets - about sexless marriages, mental health problems, even racist views. Seth Stephens-Davidowitz, an economist and former Google data scientist, shows that this could just be the most important dataset ever collected.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781408894705/everybody-lies.jpg,19.95,352,Bloomsbury Publishing,2017-08-01,23.2 x 15.5 x 2.7,Computer Security
Marc Goodman,Computer Fraud & Hacking,Computer Security,Future Crimes,"This is the New York Times Bestseller. Technological advances have benefited our world in immeasurable ways, but there is an ominous flip side. Criminals are often the earliest, and most innovative, adopters of technology and modern times have led to modern crimes. Today's criminals are stealing identities, draining online bank-accounts and wiping out computer servers.  It's disturbingly easy to activate baby cam monitors to spy on families, pacemakers can be hacked to deliver a lethal jolt, and thieves are analyzing your social media in order to determine the best time for a home invasion. Meanwhile, 3D printers produce AK-47s, terrorists can download the recipe for the Ebola virus, and drug cartels are building drones. This is just the beginning of the tsunami of technological threats coming our way. In Future Crimes, Marc Goodman rips open his database of hundreds of real cases to give us front-row access to these impending perils. Reading like a sci-fi thriller, but based in startling fact, Goodman raises tough questions about the expanding role of technology in our lives.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780552170802/future-crimes.jpg,17.75,672,Transworld Publishers Ltd,2016-03-10,19.7 x 12.9 x 4.3,Computer Security
Luke Harding,Social Issues & Processes,Society & Culture,The Snowden Files,"Edward Snowden, a young computer genius working for America's National Security Agency, blew the whistle on the way this frighteningly powerful organisation uses new technology to spy on the entire planet. The consequences have shaken the leaders of nations worldwide. This is the inside story of Snowden's deeds and the journalists who faced down pressure from the US and UK governments to break a remarkable scoop. From the day he left his glamorous girlfriend in Hawaii, carrying a hard drive full of secrets, to the weeks of secret-spilling in Hong Kong and his battle for asylum, Snowden's story reads like a globe-trotting thriller. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781783351046/the-snowden-files.jpg,18.35,384,Guardian Faber Publishing,2016-09-28,19.8 x 12.9 x 3.1,Computer Security
"Suelette Dreyfus,Julian Assange",Computer Fraud & Hacking,Computer Security,Underground,"Dr Suelette Dreyfus is an award - winning writer and journalist. In addition to writing the first major book about computer hacking in Australia, Underground, she was the Associate Producer of a documentary about hackers. Her articles have appeared in magazines and news papers such as The Independent (London), The Age, The Sydney Morning Herald and The Australian. She began work on Underground while completing her PhD. She is a Research Fellow at the University of Melbourne, where she runs several major research projects in information systems. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781742752020/underground.jpg,16.75,508,Random House Australia,2011-02-01,19.7 x 13.1 x 3.3,Computer Security
Luke Harding,Social Issues & Processes,Society & Culture,The Snowden Files,"Edward Snowden, a young computer genius working for America's National Security Agency, blew the whistle on the way this frighteningly powerful organisation uses new technology to spy on the entire planet. The consequences have shaken the leaders of nations worldwide. This is the inside story of Snowden's deeds and the journalists who faced down pressure from the US and UK governments to break a remarkable scoop. From the day he left his glamorous girlfriend in Hawaii, carrying a hard drive full of secrets, to the weeks of secret-spilling in Hong Kong and his battle for asylum, Snowden's story reads like a globe-trotting thriller. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781783350377/the-snowden-files.jpg,22.5,384,Guardian Faber Publishing,2015-01-01,19.5 x 13.0 x 2.5,Computer Security
Kevin Poulsen,True Crime,True Stories,Kingpin ,How one hacker took over the billion dollar cyber,https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780733627712/kingpin.jpg,25.5,352,Hachette Australia,2011-03-01,23.3 x 15.6 x 2.1,Computer Security
Andreas Weigend,Privacy & Data Protection,Computer Security,Data for the People,"In Data for the People, Andreas Weigend draws on his years as a consultant for commerce, education, healthcare, travel and finance companies to outline how Big Data can work better for all of us. As of today, how much we benefit from Big Data depends on how closely the interests of big companies align with our own. Too often, outdated standards of control and privacy force us into unfair contracts with data companies, but it doesn't have to be this way. Weigend makes a powerful argument that we need to take control of how our data is used to actually make it work for us. Only then can we the people get back more from Big Data than we give it. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780465044696/data-for-the-people.jpg,35.95,272,INGRAM PUBLISHER SERVICES US,2017-02-18,24.3 x 16.3 x 2.8,Computer Security
"Wm. Arthur Conklin,Greg White,Dwayne Williams,Roger L. Davis,Chuck Cothren",Computer Security,Computing & I.T.,"Principles of Computer Security, Fourth Edition","Wm. Arthur Conklin, Ph.D., CompTIA Security+, CISSP, is an associate professor in the Information and Logistics Technology Department at the University of Houston. Greg White, Ph.D., is a professor in the Department of Computer Science at the University of Texas at San Antonio. He is the director for the Center for Infrastructure Assurance and Security at UTSA. Corey Schou, Ph.D., series editor, is a fellow and vice chairperson of (ISC)2, the University Professor of Informatics and professor of Computer Science at Idaho State University, and the director of the Informatics Research Institute and the National Information Assurance Training and Education Center (NIATEC).",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780071835978/principles-of-computer-security-fourth-edition.jpg,110.35,768,McGraw-Hill Education - Europe,2015-12-02,27.4 x 21.3 x 3.6,Computer Security
"Christopher Hadnagy,Paul Wilson",Computer Networking & Communications,Computing & I.T.,Social Engineering : The Art of Human Hacking,"The first book to reveal and dissect the technical aspect of many social engineering maneuvers  From elicitation, pretexting, influence and manipulation all aspects of social engineering are picked apart, discussed and explained by using real world examples, personal experience and the science behind them to unraveled the mystery in social engineering.  Kevin Mitnick--one of the most famous social engineers in the world--popularized the term ""social engineering."" He explained that it is much easier to trick someone into revealing a password for a system than to exert the effort of hacking into the system. Mitnick claims that this social engineering tactic was the single-most effective method in his arsenal. This indispensable book examines a variety of maneuvers that are aimed at deceiving unsuspecting victims, while it also addresses ways to prevent social engineering threats. Examines social engineering, the science of influencing a target to perform a desired task or divulge information Arms you with invaluable information about the many methods of trickery that hackers use in order to gather information with the intent of executing identity theft, fraud, or gaining computer system access Reveals vital steps for preventing social engineering threats Includes a direct URL to a free download of the world's premiere penetration-testing distribution, BackTrack 4 SE Edition - geared towards Social Engineering Tools  ""Tools for Human Hacking"" does its part to prepare you against nefarious hackers--now you can do your part by putting to good use the critical information within its pages.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780470639535/social-engineering-the-art-of-human-hacking.jpg,38.5,416,John Wiley and Sons Ltd,2010-12-01,22.8 x 15.4 x 2.1,Computer Security
